<<<<<<< Updated upstream
id,sentence
1,ฉันจะเอาส้มตำไป
2,ฉันจะกล้าเดินทาง
3,ฉันจะสาดน้ำใส่
4,ฉันจะอ่านหนังสือต่อลูก
5,ฉันจะสู้เขาไม่ได้
6,ฉันจะไม่กินขนมอีก
7,ฉันจะซื้อเธอขนม
8,ฉันจะพามาลูกค้า
=======
id,sentence,is_acceptable
1,ฉันจะใส่รองเท้าไว้,1
2,ฉันจะหยิบน้ำกิน,1
3,ฉันจะเติมน้ำมันดู,1
4,ฉันจะไปทองหล่อด้วย,1
5,ฉันจะเตะบอลก่อน,1
6,ฉันจะช่วยตกปลา,1
7,ฉันจะร้องเพลงใหม่ด้วย,1
8,ฉันจะกินไก่ทอดก่อน,1
9,ฉันจะรอพัสดุมา,1
10,ฉันจะอ่านหนังสือต่อ,1
11,ฉันจะท่องศัพท์ได้,1
12,ฉันจะเอาขนมไป,1
13,ฉันจะแบ่งเงินแล้ว,1
14,ฉันจะปิดทีวีแล้ว,1
15,ฉันจะเสียบปลั๊กดูก่อน,1
16,ฉันจะเย็บผ้าต่อ,1
17,ฉันจะมอบเงินทอนไว้,1
18,ฉันจะทอดหมูใส่,0
19,ฉันจะมาตอนเช้าไว้,0
20,ฉันจะเล่าเรื่องฟังต่อ,0
21,ฉันจะถวายพระสงฆ์ได้,0
22,ฉันจะทำเงินหายด้วย,0
23,ฉันจะดูหนังกัน,0
24,ฉันจะซักเสื้อสวมก่อน,0
25,ฉันจะรักหมากว่า,0
26,ฉันจะเลี้ยงแมวมาก,0
27,ฉันจะรับรถดูแลไว้,0
28,ฉันจะชงกาแฟกันได้,0
29,ฉันจะเช็ดกระจกสะอาดไว้,0
30,ฉันจะเก็บกระโปรงใส่ไว้,0
31,ฉันจะตัดผมดูต่อ,0
32,ฉันจะกดเครื่องคิดเลขกัน,0
33,ฉันจะรับเรื่องฟังไว้,0
34,ฉันจะถอนฟันหลุดด้วย,0
>>>>>>> Stashed changes
