verb,count
มี,229227
เป็น,163724
ใช้,36657
ทำ,25502
ได้รับ,23733
นำ,20958
ทำให้,20827
สร้าง,19552
เกิด,18776
คือ,17713
ให้,16230
รับ,15070
ผ่าน,14536
พบ,13819
ส่ง,11871
พร้อม,10251
เข้า,9846
ตรวจสอบ,9695
จัด,9326
เปิด,8772
ใช่,8068
หา,7857
วัด,7628
รักษา,7521
เห็น,7380
พัฒนา,6952
เอา,6901
ลด,6834
รวมถึง,6742
ดู,6728
เพิ่ม,6582
ตั้ง,6402
ดูแล,6148
แสดง,5816
ซื้อ,5737
กำหนด,5530
กล่าว,5395
เล่น,5368
อยู่,5327
รอง,5144
ยังมี,5018
เก็บ,4905
ติดตาม,4893
ลง,4722
ร่วม,4666
"
",4647
สนับสนุน,4494
ส่งเสริม,4485
ขอให้,4357
ขอ,4317
กล่าวถึง,4302
ถือเป็น,4289
ขาย,4168
ได้,4129
ใส่,4080
ทราบ,4060
ติด,3970
ไป,3829
ปรับ,3816
กลายเป็น,3761
ร่วมกับ,3738
ปลูก,3686
เลือก,3679
เสนอ,3672
รอ,3672
ประกอบ,3610
ดำเนิน,3602
รวม,3590
เข้าสู่,3557
เตรียม,3518
ทำให้เกิด,3496
จ่าย,3492
ควบคุม,3394
ป้องกัน,3292
ปิด,3265
มาจาก,3222
ออก,3221
จัดการ,3152
ตรวจ,3129
เดิน,3073
เปลี่ยน,3027
ถือ,2944
เรียก,2892
ช่วยเหลือ,2864
บริการ,2840
ขยาย,2805
พิจารณา,2795
ช่วย,2706
เหมือน,2695
จัดทำ,2656
กิน,2641
เข้าร่วม,2591
ขับเคลื่อน,2585
ขาด,2503
แทน,2483
แจ้ง,2398
สอบถาม,2381
ตัด,2373
ยึด,2369
ยก,2336
รวบรวม,2316
เมือง,2253
บอก,2250
เน้น,2238
กลับ,2230
ผลิต,2196
เผยแพร่,2168
แก้ไข,2157
ประกาศ,2145
บริหาร,2085
ยื่น,2076
วาง,2067
เลี้ยง,2057
นำไปสู่,2056
รองรับ,2032
ยิง,2026
ศึกษา,2006
อ่าน,1955
เข้ามา,1942
ชอบ,1933
ตอบ,1924
มาถึง,1919
ปราบปราม,1909
จำหน่าย,1883
จับ,1875
เสีย,1854
รู้,1853
จบ,1846
แก้,1837
มอบ,1828
ขับ,1820
